string_0,string_1,number_0,number_1,number_2,number_3,number_4,number_5,target,is_test,line_id
Самара,Monday,173639.0,120.96159901047,,9363.0,,15,1.003,0,0
Самара,Thursday,239584.0,173.295883407889,,13617.0,,6,4.101,0,1
Москва,Monday,127507.0,111.757456706424,130038.0,7550.0,11514.0,7,0.373,0,3
Москва,Saturday,25494.0,15.318535275687,24960.0,2350.0,5068.0,1,3.75,0,4
Москва,Tuesday,10562.0,7.10863083053619,9562.0,1107.0,2037.0,10,0.807,0,6
Екатеринбург,Tuesday,20323.0,12.2180971135795,15356.0,1833.0,4148.0,5,0.83,0,7
Москва,Friday,391674.0,351.377671553014,391400.0,18734.0,21157.0,6,2.926,0,8
Хабаровск,Tuesday,2341954.0,1547.30931046964,,109276.0,,8,2.983,0,9
Москва,Thursday,66872.0,40.2918832928625,46372.0,4025.0,6867.0,12,1.604,0,11
Самара,Friday,482640.0,395.23057187567,,22973.0,,4,4.782,0,12
Екатеринбург,Thursday,952742.0,824.806544478805,899569.0,45483.0,54020.0,5,3.919,0,14
Хабаровск,Thursday,737577.0,610.800626656052,818663.0,34388.0,54522.0,6,4.029,0,15
Самара,Tuesday,85783.0,60.286313730196,,4741.0,,9,0.847,0,16
Санкт-Петербург,Tuesday,965541.0,828.0740659828,1768227.0,46691.0,130381.0,5,2.214,0,18
Ростов-на-Дону,Thursday,152803.0,130.88292106237,165821.0,8402.0,12660.0,5,1.843,0,19
Москва,Tuesday,1237130.0,990.28672927258,,57351.0,,12,2.171,0,20
Москва,Tuesday,7770.0,5.12793576080724,8108.0,1003.0,2910.0,6,0.9,0,21
Санкт-Петербург,Monday,967314.0,830.576882166898,,46728.0,,5,1.973,0,22
Санкт-Петербург,Thursday,22262.0,12.1636133965075,13784.0,2167.0,3719.0,5,1.724,0,23
Москва,Wednesday,339369.0,300.851848420283,380081.0,17347.0,28162.0,9,1.08,0,26
Екатеринбург,Wednesday,495860.0,360.736071688489,744204.0,25760.0,78253.0,5,1.023,0,27
Москва,Tuesday,19739.0,7.72805711751848,9697.0,1472.0,3132.0,6,0.774,0,28
